Tаблица 1
city;school_name;full_school_name;email;Consorcium;Peterson;Sirius
Домодедово;МАОУ «Домодедовский образовательный комплекс «Доминанта»»;Муниципальное автономное общеобразовательное учреждение «Домодедовская средняя общеобразовательная школа №2 имени М.Д. Глазова» города Домодедово Московской области;dmdd_sosh_8@mosreg.ru;1;1;0
Домодедово;МАОУ «Домодедовский образовательный комплекс «Орбита»;Муниципальное автономное общеобразовательное учреждение Востряковский лицей № 1 городского округа город Домодедово Московской области;dmdd_vostr_licey1@mosreg.ru;0;1;0
Домодедово;МАОУ Домодедовская СОШ № 1;Муниципальное автономное общеобразовательное учреждение Домодедовская средняя общеобразовательная школа № 1 городского округа Домодедово Московской области;dmdd_sosh_1@mosreg.ru;0;1;0
Домодедово;"ОАНО ""Частная школа ""Хрустальная сова""";Общеобразовательную автономную некоммерческую организацию «Частная школа «Хрустальная сова» городского округа город Домодедово Московской области;crystalowl@inbox.ru;0;1;0
Домодедово;"ЧУОО ""Мир познаний""";Частное учреждение общеобразовательная организация «Мир познаний» городского округа город Домодедово Московской области;info@mo.school;0;1;0
Дубны;"ЧУОО Новая школа ""Юна""";Частное Учреждение Общеобразовательная Организация «Новая школа «Юна», города Дубны Московской области;school.juna@gmail.com;0;1;0
Дубровка;ЛИ ФГБОУ ВО «КНИТУ»;Лицей-интернат для одаренных детей с углубленным изучением химии – филиал ФГБОУ ВО «КНИТУ» в п. Дубровка Республики Татарстан ;tat.himlicey@gmail.com;1;0;0
Екатеринбург;ГАНОУ СО «Губернаторский лицей»;Государственное автономное нетиповое образовательное учреждение Свердловской области «Губернаторский лицей» Екатеринбурга;info@lyceum66.ru;0;1;0
Екатеринбург;МАОУ – Гимназия № 47;Муниципальное автономное общеобразовательное учреждение - Гимназия № 47 города Екатеринбурга Свердловской области;gimnaziya47@eduekb.ru;0;1;0
Екатеринбург;МАОУ - СОШ № 55;Муниципальное бюджетное общеобразовательное учреждение – средняя общеобразовательная школа № 55 города Екатеринбурга;soch55@eduekb.ru;0;1;0
Екатеринбург;МАОУ - СОШ № 7;Муниципальное автономное общеобразовательное учреждение — средняя общеобразовательная школа № 7;soch7@eduekb.ru;1;0;0
Екатеринбург;МАОУ гимназия № 144;Муниципальное автономное образовательное учреждение гимназия № 144 города Екатеринбурга Свердловской области;gimnaziya144@eduekb.ru;0;1;0
Екатеринбург;МАОУ гимназия № 35;Муниципальное автономное общеобразовательное учреждение гимназия № 35;"gimnaziya35@eduekb.ru
 gymn35@mail.ru";1;0;0
Екатеринбург;МАОУ гимназия № 40;Муниципальное автономное общеобразовательное учреждение гимназия № 40 Екатеринбурга;gimnaziya40@eduekb.ru;0;1;0
Екатеринбург;МАОУ Лицей № 130;Муниципальное автономное общеобразовательное учреждение Лицей № 130 ;lyc130@eduekb.ru;1;0;0
Екатеринбург;МАОУ лицей № 135;Муниципальное автономное общеобразовательное учреждение лицей № 135;licey135@eduekb.ru;1;0;0
Екатеринбург;МАОУ лицей №180;Муниципальное автономное общеобразовательное учреждение лицей № 180 «Полифорум»;licey180@eduekb.ru;1;0;0
Екатеринбург;МАОУ СОШ № 123;Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 123 города Екатеринбурга Свердловской области;soch123@eduekb.ru;0;1;0
Екатеринбург;МАОУ СОШ № 149;Муниципальное бюджетное общеобразовательное учреждение среднюю общеобразовательную школу № 149 города Екатеринбурга Свердловской области;soch149@eduekb.ru;0;1;0
Екатеринбург;МАОУ СОШ № 17 с углубленным изучением отдельных предметов;Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 17 с углубленным изучением отдельных предметов города Екатеринбурга Свердловской области;soch17@eduekb.ru;0;1;0
Екатеринбург;"МАОУ СОШ № 215 ""Созвездие""";Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 215» города Екатеринбурга Свердловской области;soch215@eduekb.ru;1;1;0
Екатеринбург;МАОУ СОШ № 44;Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 44 города Екатеринбурга Свердловской области;soch44@eduekb.ru;0;1;0
Екатеринбург;МАОУ СОШ № 80;Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 80;soch80@eduekb.ru;1;0;0
Екатеринбург;МБОУ СОШ № 221;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 221 города Екатеринбурга Свердловской области;soch221@eduekb.ru;0;1;0
Екатеринбург;"ЧОУ ""Гимназия № 212""";Частное общеобразовательное учреждение «Гимназия № 212 «ЕкатеринбургПариж» города Екатеринбурга Свердловской области;gym212@mail.ru;0;1;0
Елань-Коленовский;МБОУ «Елань-Коленовская СОШ № 2»;Муниципальное бюджетное общеобразовательное учреждение Новохоперского муниципального района Воронежской области «Елань-Коленовская средняя общеобразовательная школа № 2»;moysoh7@mail.ru;0;1;0
Железногорск;МОУ «СОШ № 8»;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 8» города Железногорска Курской области;oou8.obr46@yandex.ru;0;1;0
Жуковский;МБОУ лицей № 14 имени М.М. Громова;Муниципальное бюджетное общеобразовательное учреждение лицей № 14 им. М.М. Громова города Жуковского Московской области;zhuk_mou_14@mosreg.ru;0;1;0
Западный;МОУ «ИТ – лицей Привилегия»;Муниципальное общеобразовательное учреждение «ИТ-лицей Привилегия» п. Западный Сосновского муниципального района Челябинской области;mail@itl74.ru;1;1;0
Заречное;МБОУ Зареченская ООШ имени Героя Советского Союза А.И. Отставнова;Муниципальное бюджетное общеобразовательное учреждение Зареченская средняя общеобразовательная школа имени Героя Советского Союза Алексея Ивановича Отставнова Собинского района Владимирской области;zarsosh@mail.ru;0;1;0
Звёздный городок;МБОУ СОШ им. В.М. Комарова с УИАЯ;Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа имени В.М. Комарова с углублённым изучением английского языка ЗАТО городского округа Звёздный городок Московской области;Slozhenkina.OYu@mosreg.ru;0;1;0
Зеленогорск;"МБОУ ""Лицей №174""";Муниципальное бюджетное общеобразовательное учреждение «Лицей № 174» Зеленогорска Красноярского края;"dir@fml174.ru
secret@fml174.ru";0;1;0
Зеленодольск;МБОУ «Гимназия № 3 ЗМР РТ»;"Муниципальное бюджетное общеобразовательное учреждение «Гимназия №3 Зеленодольского муниципального района Республики Татарстан""»";"Gimnaziya.3@tatar.ru
zeishool3@mail.ru";1;0;0
Иваново;"МБОУ ""Гимназия № 30""";"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия № 30""";school30@ivedu.ru;0;0;1
Иваново;"МБОУ ""Лицей №33""";Муниципальное бюджетное общеобразовательное учреждение «Лицей № 33» города Иваново;school33@ivedu.ru;0;1;1
Ивантеевка;МБОУ «Образовательный центр №1»;Муниципальное бюджетное общеобразовательное учреждение города Ивантеевка городского округа Пушкинский Московской области «Образовательный центр № 1»;ivnt_mbou_1@mosreg.ru;0;1;0
Ижевск;"МБОУ ""СОШ № 62""";Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 62» имени Ю.А. Гагарина города Ижевска Удмуртской Республики;sc062@izh-shl.udmr.ru;0;1;0
Ижевск;"МБОУ ИЕГЛ ""Школа-30""";Муниципальное бюджетное общеобразовательное учреждение «Ижевский естественно-гуманитарный лицей «Школа-30» города Ижевская Удмуртской Республики;sc030@izh-shl.udmr.ru;0;1;0
Ижевск;МБОУ СОШ № 93;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 93» города Ижевска Удмуртской Республики;sc093@izh-shl.udmr.ru;0;1;0
Ижевск;Школа Гармония;Муниципальное бюджетное общеобразовательное учреждение Международный образовательный комплекс «Гармония» города Ижевска Удмуртской Республики;info@school97.ru, sc-ga@IZH-SHL.UDMR.RU;1;1;0
Инта;"МБОУ ""Лицей № 1 г. Инты""";"Муниципальное бюджетное общеобразовательное учреждение ""Лицей № 1 г. Инты""";;;;
Иркутск;МБОУ г.Иркутска гимназия № 3;Муниципальное бюджетное общеобразовательное учреждение города Иркутска гимназия № 3;gymn3@mail.ru;0;1;0
Иркутск;МБОУ г.Иркутска СОШ №64;Муниципальное бюджетное общеобразовательное учреждение города Иркутска средняя общеобразовательная школа с углублённым изучением отдельных предметов № 64;"mail@sch64.ru 
lingva64@yandex.ru
";0;1;0
Иркутск;МБОУ Иркутска СОШ № 23;Муниципальное бюджетное общеобразовательное учреждение города Иркутска средняя общеобразовательная школа № 23;school23.irc.dor@mail.ru;0;1;0
Иркутск;МБОУ СОШ № 11 с УИОП им. И.А. Дрица;Муниципальное бюджетное общеобразовательное учреждение города Иркутска средняя общеобразовательная школа № 11 с углубленным изучением отдельных предметов им. И.А. Дрица;school_11@list.ru;0;1;0
Иркутск;РЖД лицей № 14;Частное общеобразовательное учреждение «РЖД лицей № 14» города Иркутска;licey14@rzd-irk.ru;0;1;0
Истра;НЧОУ «Международная школа «АЛЬНАИР»;Негосударственное частное общеобразовательное учреждение «Международная школа «АЛЬНАИР» д. Борзые г.о. Истра Московской области;welcome@wunderpark.ru;0;1;0
Йошкар-Ола;МБОУ «Образовательный комплекс «Школа № 29 Йошкар-Олы;"Муниципальное бюджетное общеобразовательное учреждение
«Образовательный комплекс «Школа № 29 города Йошкар-Олы
имени Героя Российской Федерации Дамира Эдуардовича Шаймарданова»
города Йошкар-Олы Республики Марий Эл";schoolmari-29@yandex.ru;0;1;0
Йошкар-Олы;МБОУ «СОШ № 5 «Обыкновенное чудо»;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 «Обыкновенное чудо» города Йошкар-Олы Республики Марий Эл;info@usual-wonder.ru;0;1;0
Казань;лицей-интернат;Инженерный лицей-интернат КНИТУ-КАИ;el@kai.ru;1;0;0
Казань;"МАОУ ""Гимназия № 141""";Муниципальное автономное общеобразовательное учреждение «Гимназия № 141» Советского района города Казани Республики Татарстан;S141.kzn@tatar.ru;0;1;0
Казань;"МАОУ «Лицей № 146 ""Ресурс""»";Муниципальное автономное общеобразовательное учреждение «Лицей №146 «Ресурс»» Ново-Савиновского района Казани;licey146kzn@mail.ru;1;0;0
Казань;"МБОУ ""Гимназия № 102""";"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия № 102 имени М. С. Устиновой"" Московского района города Казани";G102.kzn@tatar.ru;1;0;0
Казань;"МБОУ ""Гимназия №122 имени Ж.А.Зайцевой""";Муниципальное бюджетное общеобразовательное учреждение «Гимназия № 122 имени Ж.А. Зайцевой» города Казани Республики Татарстан;G122.kzn@tatar.ru;0;1;0
Казань;"МБОУ ""Лицей № 182"" Казани";"Муниципальное бюджетное общеобразовательное учреждение ""Политехнический лицей №182"" Кировского района Казани";"lyceum182@mail.ru
Licey.182@tatar.ru";1;0;0
Казань;"МБОУ ""Лицей №23""";Муниципальное бюджетное общеобразовательное учреждение «Лицей № 23» Ново-Савиновского района города Казани Республики Татарстан;S23.kzn@tatar.ru;0;1;0
Казань;"МБОУ ""Школа № 54"" Авиастроительного района Казани";"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 54 с углубленным изучением отдельных предметов"" Авиастроительного района Казани";S54.kzn@tatar.ru;1;0;0
Казань;МБОУ «Гимназия № 8-Центр образования» ;Муниципальное бюджетное общеобразовательное учреждение «Гимназия №8-Центр образования» Советского района Казани;schg8@mail.ru;1;0;0
Казань;МБОУ «Гимназия № 33»;Муниципальное бюджетное общеобразовательное учреждение «Гимназия №33» Авиастроительного района Казани;kazan-school33@yandex.ru;1;0;0
Казань;МБОУ «Лицей № 35»;Муниципальное бюджетное общеобразовательное учреждение «Лицей №35 - образовательный центр «Галактика» Приволжского района г.Казани;s35.kzn@tatar.ru;1;0;0
Казань;ОЧУ ШСР «Прогресс»;Общеобразовательное Частное учреждение «Школа стратегического развития «Прогресс»;Gim.Progress@tatar.ru;1;0;0
Казачья Слобода;"МОУ ""Казачинская СШ""";Муниципальное общеобразовательное учреждение «Казачинская средняя школа» с. Казачья Слобода Рязанской области;kzsl-school@ryazangov.ru;0;1;0
Калининград;МАОУ гимназия № 32;Муниципальное автономное общеобразовательное учреждение города Калининграда гимназия № 32;maougimn32@edu.klgd.ru;1;1;0
Калининград;МАОУ гимназия №22;Муниципальное автономное общеобразовательное учреждение города Калининграда гимназия № 22;maougimn22@edu.klgd.ru;0;1;0
Калининград;МАОУ КМЛ;Муниципальное автономное общеобразовательное учреждение города Калининграда Калининградский морской лицей;maoukml@edu.klgd.ru;1;0;0
Калининград;МАОУ лицей № 49;Муниципальное автономное общеобразовательное учреждение города Калининграда лицей № 49;maoulic49@edu.klgd.ru;0;1;0
Калининград;МАОУ СОШ № 50;Муниципальное автономное общеобразовательное учреждение города Калининграда средняя общеобразовательная школа № 50;maouschool50@edu.klgd.ru;0;1;0
Калининград ;МАОУ гимназия № 40 им. Ю.А.Гагарина;Муниципальное автономное общеобразовательное учреждение города Калининграда гимназия № 40 имени Ю.А. Гагарина;maougimn40@edu.klgd.ru;0;1;0
Калуга;"МБОУ ""Гимназия № 19"" г.Калуги";Муниципальное бюджетное общеобразовательное учреждение «Гимназия № 19» города Калуги;gimn_19@adm.kaluga.ru;0;1;0
Калуга;"МБОУ ""Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов"" Калуги ";Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов» города Калуги;mou_10@adm.kaluga.ru;0;1;0
Калуга;МБОУ «Средняя общеобразовательная школа № 22» города Калуги;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 22» города Калуги;mou_22@adm.kaluga.ru;0;1;0
Каменка;МОУ СОШ №9 им. Кирилла и Мефодия Каменки;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 9 имени Кирилла и Мефодия города Каменки Пензенской области;school9km@yandex.ru;0;1;0
Каменск-Уральск;Средняя школа №7;Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 7» Каменска-Уральского Свердловской области;chkola-7@mail.ru;0;1;0
Каменск-Уральский;Средняя школа № 1;"Муниципальное автономное общеобразовательное учреждение «Средняя
общеобразовательная школа №1 с углубленным изучением отдельных
предметов» города Каменска-Уральского Свердловской области";mouo@kamensktel.ru;0;1;0
Камышин;МБОУ СШ № 8;Муниципальное бюджетное общеобразовательное учреждение средняя школа № 8 городского округа город Камышин Волгоградской области;kam_sh8@volganet.ru;0;1;0
Каспийск;"ГБПОУ РД ""РЦО имени И.И.Ханбалаева""";"Государственное бюджетное профессиональное образовательное учреждение Республики Дагестан ""Республиканский центр образования имени И.И.Ханбалаева""";gbou_rco@e-dag.ru ;1;0;0
Кемерово;"МАОУ ""СОШ № 85""";"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №85""";school85.info@mail.ru;1;0;0
Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36""";"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №36""";admin@raduga36.ru;1;0;0
Кемерово;"МБОУ ""Лицей № 62""";"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №62"""; lyceum62kem@inbox.ru;1;0;0
Кемерово;"МБОУ ""Лицей № 89""";Муниципальное бюджетное общеобразовательное учреждение «Лицей №89»;licey89@yandex.ru;1;0;0
Кемерово;"МБОУ ""СОШ № 97""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 97""";school97kem@yandex.ru;1;0;0
Киров;МБОУ СОШ с УИОП № 27 г. Кирова;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 27» города Кирова;;0;1;0
Ковров;МБОУ СОШ № 21;Муниципальное бюджетное общеобразовательное учреждение города Коврова средняя общеобразовательная школа № 21 имени Владимира Григорьевича Фёдорова города Коврова Владимирской области;i.v.igolkina@yok33.ru, o.e.horobryh@yok33.ru;0;1;0
Ковров;МБОУ СОШ № 24;Муниципальное бюджетное общеобразовательное учреждение города Коврова «Средняя общеобразовательная школа №24 имени Героя Советского Союза Алексея Васильевича Лопатина» Владимирской области;l.v.vorobeva@yok33.ru;0;1;0
Когалым;МАОУ «Средняя школа № 8»;Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 8 с углубленным изучением отдельных предметов» города Когалыма Ханты-Мансийского автономного округа – Югры;sch8kogalym@yandex.ru;0;1;0
Коломна;МБОУ «Гимназия № 2 «Квантор»;Муниципальное бюджетное общеобразовательное учреждение «Гимназия № 2 «Квантор» г.о. Коломна Московской области;kvantor-kolomna@yandex.ru;0;1;0
Коломна;МБОУ «Лицей №4»;Муниципальное бюджетное общеобразовательное учреждение «Лицей № 4» г.о. Коломна Московской области;;0;1;0
Королёв;МАОУ «Гимназия №9»;Муниципальное автономное общеобразовательное учреждение «Гимназия № 9» г.о. Королёв Московской области;krlv_g9@mosreg.ru;0;1;0
Красногорск;МБОУ НОШ №17;Муниципальное бюджетное общеобразовательное учреждение начальная общеобразовательная школа № 17 города Красногорска Московской области;krgr_mbou_17@mosreg.ru;0;1;0
Красногорск;МБОУ СОШ №1;Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа № 1 города Красногорска Московской области;krgr_mbou_1@mosreg.ru;0;1;0
Красногорск;"ЧУОШ ""Светлые Горы""";Частное общеобразовательное учреждение общеобразовательная школа «Светлые Горы» г.о. Красногорск Московской области;berzarina@sv-gory.ru;0;1;0
Краснообск;МАОУ «Гимназия «Краснообская»;Муниципальное автономное общеобразовательное учреждение Новосибирского района Новосибирской области «Гимназия «Краснообская»;g_krasn@edu54.ru;1;0;0
Красноярск;МАОУ Лицей № 28;Муниципальное автономное общеобразовательное учреждение «Лицей № 28» города Красноярска Красноярского края;Lyc28@mailkrsk.ru;0;1;0
